name,team,salary,position,age,per
Jonathan Isaac,Orlando Magic,15000000,Power Forward,28,11.5
Jonathan Kuminga,Atlanta Hawks,22500000,Power Forward,23,14.2
Jonathan Mogbo,Toronto Raptors,1955377,Power Forward,24,12.8
Jordan Clarkson,New York Knicks,2296274,Shooting Guard,33,11.6
Jordan Goodwin,Phoenix Suns,2349578,Point Guard,27,14.7
Jordan Hawkins,New Orleans Pelicans,4741320,Shooting Guard,23,7.6
Jordan McLaughlin,San Antonio Spurs,2296274,Point Guard,29,12
Jordan Miller,LA Clippers,712637,Small Forward,26,15.9
Jordan Poole,New Orleans Pelicans,31848215,Point Guard,26,11.5
Jordan Walsh,Boston Celtics,2221677,Power Forward,21,13.1
Jose Alvarado,New York Knicks,4500000,Point Guard,27,12.1
Josh Giddey,Chicago Bulls,25000000,Point Guard,23,18
Josh Green,Charlotte Hornets,13666667,Shooting Guard,25,9.7
Josh Hart,New York Knicks,19472240,Small Forward,30,15.7
Josh Minott,Brooklyn Nets,2378870,Power Forward,23,16
Josh Okogie,Houston Rockets,7750000,Shooting Guard,27,9.9
Jrue Holiday,Portland Trail Blazers,32400000,Point Guard,35,16.4
Julian Champagnie,San Antonio Spurs,3000000,Small Forward,24,13.1
Julian Phillips,Minnesota Timberwolves,2221677,Small Forward,22,9.3
Julian Strawther,Denver Nuggets,2674200,Shooting Guard,23,12.5
Julius Randle,Minnesota Timberwolves,30864198,Power Forward,31,18.4
Justin Champagnie,Washington Wizards,2349578,Small Forward,24,17.3
Justin Edwards,Philadelphia 76ers,2048494,Small Forward,22,12.1
Jusuf Nurkic,Utah Jazz,19375000,Center,31,16.4
Kam Jones,Indiana Pacers,1272870,Shooting Guard,23,8.2
Karl-Anthony Towns,New York Knicks,54126450,Center,30,22
Karlo Matkovic,New Orleans Pelicans,1955377,Power Forward,24,16.5
Kasparas Jakucionis,Miami Heat,3658800,Point Guard,19,11.9
Kawhi Leonard,LA Clippers,50000000,Small Forward,34,27.9
Keaton Wallace,Atlanta Hawks,2296274,Point Guard,26,10.4
Keegan Murray,Sacramento Kings,11144093,Power Forward,25,11.7
Kel'el Ware,Miami Heat,4443360,Center,21,20
Keldon Johnson,San Antonio Spurs,17500000,Small Forward,26,17.3
Kelly Olynyk,San Antonio Spurs,13445122,Center,34,13.5
Kelly Oubre Jr.,Philadelphia 76ers,8382150,Small Forward,30,13
Kenrich Williams,Oklahoma City Thunder,7163000,Power Forward,31,14.2
Kentavious Caldwell-Pope,Memphis Grizzlies,21621500,Shooting Guard,32,11
Keon Ellis,Cleveland Cavaliers,2301587,Shooting Guard,26,10.8
Keon Johnson,Brooklyn Nets,2349578,Shooting Guard,23,
Keshad Johnson,Miami Heat,1955377,Small Forward,24,15.2
Kevin Durant,Houston Rockets,54708609,Small Forward,37,21.1
Kevin Huerter,Detroit Pistons,17991071,Small Forward,27,13.2
Kevin Love,Utah Jazz,4150000,Power Forward,37,14.7
Kevin Porter Jr.,Milwaukee Bucks,5134000,Point Guard,25,18.7
Kevon Looney,New Orleans Pelicans,8000000,Center,29,13.6
Keyonte George,Utah Jazz,4278960,Point Guard,22,18.5
Khaman Maluach,Phoenix Suns,6016080,Center,19,14
Khris Middleton,Dallas Mavericks,33926296,Small Forward,34,10.9
KJ Martin,Utah Jazz,8025000,Small Forward,25,
Klay Thompson,Dallas Mavericks,16666667,Small Forward,35,11.4
Kobe Brown,Indiana Pacers,2654880,Power Forward,26,12
Kobe Bufkin,Los Angeles Lakers,831410,Shooting Guard,22,6.2
Kon Knueppel,Charlotte Hornets,10015680,Small Forward,20,17.1
Kris Dunn,LA Clippers,5426000,Point Guard,31,11.3
Kris Murray,Portland Trail Blazers,3132000,Small Forward,25,9.6
Kristaps Porzingis,Golden State Warriors,30731707,Center,30,19.6
Kyle Anderson,Minnesota Timberwolves,567470,Small Forward,32,13.7
Kyle Filipowski,Utah Jazz,3000000,Center,22,16
Kyle Kuzma,Milwaukee Bucks,21810605,Power Forward,30,14.1
Kyle Lowry,Philadelphia 76ers,2296274,Point Guard,39,1.4
Kyrie Irving,Dallas Mavericks,36566002,Shooting Guard,33,
Kyshawn George,Washington Wizards,2966760,Small Forward,22,13.8
LaMelo Ball,Charlotte Hornets,37958760,Point Guard,24,19.7
Landry Shamet,New York Knicks,2296274,Shooting Guard,28,11.2
Larry Nance Jr.,Cleveland Cavaliers,2296274,Power Forward,33,9.5
Lauri Markkanen,Utah Jazz,46394100,Power Forward,28,21.1
LeBron James,Los Angeles Lakers,52627153,Small Forward,41,20.8
Leonard Miller,Chicago Bulls,2221677,Small Forward,22,15.9
Liam McNeeley,Charlotte Hornets,2763960,Small Forward,20,10.6
Lindy Waters III,San Antonio Spurs,2296274,Shooting Guard,28,7.5
Lonzo Ball,Cleveland Cavaliers,10000000,Point Guard,28,9.5
Luguentz Dort,Oklahoma City Thunder,18222222,Small Forward,26,8.3
Luka Doncic,Los Angeles Lakers,54126450,Point Guard,26,27.9
Luka Garza,Boston Celtics,2461463,Center,27,19.9
Luke Kennard,Los Angeles Lakers,11000000,Shooting Guard,29,13.5
Luke Kornet,San Antonio Spurs,11000000,Center,30,17.9
Malaki Branham,Washington Wizards,4962033,Shooting Guard,22,14
Malik Monk,Sacramento Kings,18797618,Shooting Guard,27,14.2
Marcus Sasser,Detroit Pistons,2886720,Point Guard,25,11.2
Marcus Smart,Los Angeles Lakers,5134000,Shooting Guard,31,9.9
Mark Williams,Phoenix Suns,6276531,Center,24,21.8
Marvin Bagley III,Dallas Mavericks,2296274,Power Forward,26,20.2
Mason Plumlee,San Antonio Spurs,593864,Center,35,13
Matas Buzelis,Chicago Bulls,5455560,Power Forward,21,14.8
Matisse Thybulle,Portland Trail Blazers,11550000,Shooting Guard,28,14.5
Max Christie,Dallas Mavericks,7714286,Shooting Guard,22,11
Max Strus,Cleveland Cavaliers,15936452,Small Forward,29,12.8
Maxi Kleber,Los Angeles Lakers,11000000,Power Forward,34,8.1
Maxime Raynaud,Sacramento Kings,1272870,Center,22,16
Maxwell Lewis,Brooklyn Nets,2271677,Small Forward,23,
Micah Peavy,New Orleans Pelicans,1272970,Shooting Guard,24,8.3
Micah Potter,Indiana Pacers,1527805,Center,27,17
Michael Porter Jr.,Brooklyn Nets,38333050,Small Forward,27,19.9
Mikal Bridges,New York Knicks,24900000,Small Forward,29,15.3
Mike Conley,Minnesota Timberwolves,725834,Point Guard,38,9.4
Miles Bridges,Charlotte Hornets,25000000,Power Forward,27,16
Miles McBride,New York Knicks,4333333,Shooting Guard,25,13.1
Mitchell Robinson,New York Knicks,12954546,Center,27,21.1
Mohamed Diawara,New York Knicks,1272870,Small Forward,20,10.3
Moritz Wagner,Orlando Magic,5000000,Center,28,15.3
Moses Moody,Golden State Warriors,11574074,Shooting Guard,23,13.5
Mouhamed Gueye,Atlanta Hawks,2221677,Power Forward,23,12
Moussa Diabate,Charlotte Hornets,2270735,Center,24,17.2
Myles Turner,Milwaukee Bucks,25318251,Center,29,14.2
Myron Gardner,Miami Heat,395029,Small Forward,24,15.2
N'Faly Dante,Atlanta Hawks,2048494,Center,24,12.4
Nae'Qwan Tomlin,Cleveland Cavaliers,718150,Power Forward,25,12.9
Naji Marshall,Dallas Mavericks,9000000,Small Forward,28,15.4
Naz Reid,Minnesota Timberwolves,21551724,Center,26,15.4
Neemias Queta,Boston Celtics,2349578,Center,26,20.3
Nic Claxton,Brooklyn Nets,25352272,Center,26,17.6
Nick Richards,Chicago Bulls,5000000,Center,28,11.9
Nickeil Alexander-Walker,Atlanta Hawks,15161800,Shooting Guard,27,16.5
Nicolas Batum,LA Clippers,5601600,Power Forward,37,8.4
Nigel Hayes-Davis,Phoenix Suns,2296274,Small Forward,31,4.2
Nikola Durisic,Atlanta Hawks,1272870,Small Forward,21,
Nikola Jokic,Denver Nuggets,55224526,Center,30,32.3
Nikola Jovic,Miami Heat,4445417,Power Forward,22,9.5
Nikola Topic,Oklahoma City Thunder,5182920,Point Guard,20,8.1
Nikola Vucevic,Boston Celtics,21481481,Center,35,17.7
Nique Clifford,Sacramento Kings,3108120,Shooting Guard,23,9
Noa Essengue,Chicago Bulls,5429520,Power Forward,19,-11.9
Noah Clowney,Brooklyn Nets,3398640,Power Forward,21,11.2
Noah Penda,Orlando Magic,1272870,Small Forward,21,11.3
Nolan Traore,Brooklyn Nets,3811560,Point Guard,19,7.9
Norman Powell,Miami Heat,20482758,Shooting Guard,32,17.5
Obi Toppin,Indiana Pacers,14000000,Power Forward,27,19.7
Ochai Agbaji,Brooklyn Nets,6383525,Shooting Guard,25,8.9
OG Anunoby,New York Knicks,39568966,Power Forward,28,15.8
Olivier-Maxence Prosper,Memphis Grizzlies,527879,Power Forward,23,16.9
Onyeka Okongwu,Atlanta Hawks,15000000,Center,25,15.9
Oso Ighodaro,Phoenix Suns,1955377,Power Forward,23,13.8
Ousmane Dieng,Milwaukee Bucks,6670882,Center,22,10.2
P.J. Washington,Dallas Mavericks,14152174,Power Forward,27,13.1
Pacome Dadiet,New York Knicks,2847600,Shooting Guard,20,9.6
Paolo Banchero,Orlando Magic,15334769,Power Forward,23,17.6
Pascal Siakam,Indiana Pacers,45550512,Power Forward,31,18.6
Pat Connaughton,Charlotte Hornets,1315814,Shooting Guard,33,12.9
Pat Spencer,Golden State Warriors,857804,Point Guard,29,12.1
Patrick Williams,Chicago Bulls,18000000,Power Forward,24,8.2
Paul George,Philadelphia 76ers,51666090,Power Forward,35,16.7
Paul Reed,Detroit Pistons,5335894,Center,26,24.2
Payton Pritchard,Boston Celtics,7232143,Point Guard,28,17.1
Pelle Larsson,Miami Heat,1955377,Shooting Guard,24,13.1
Peyton Watson,Denver Nuggets,4356476,Small Forward,23,14.3
Precious Achiuwa,Sacramento Kings,2111516,Center,26,16.2
Quentin Grimes,Philadelphia 76ers,8741209,Shooting Guard,25,12.9
Quenton Jackson,Indiana Pacers,601553,Point Guard,27,14.4
Quinten Post,Golden State Warriors,1935377,Power Forward,25,13
Rasheer Fleming,Phoenix Suns,1272870,Power Forward,21,10.2
Reed Sheppard,Houston Rockets,10603560,Shooting Guard,21,15.7
Richaun Holmes,Washington Wizards,13280737,Center,32,
Ricky Council IV,Philadelphia 76ers,2221677,Shooting Guard,24,
RJ Barrett,Toronto Raptors,27705357,Small Forward,25,17
Rob Dillingham,Chicago Bulls,6576120,Point Guard,21,7.7
Robert Williams III,Portland Trail Blazers,13285713,Center,28,22.1
Ronald Holland II,Detroit Pistons,8657280,Small Forward,20,11.7
Royce O'Neale,Phoenix Suns,10125000,Small Forward,32,11.6
Rudy Gobert,Minnesota Timberwolves,35000000,Center,33,17.5
Rui Hachimura,Los Angeles Lakers,18259259,Power Forward,27,11.6
Russell Westbrook,Sacramento Kings,2296274,Small Forward,37,15.1
Ryan Dunn,Phoenix Suns,2657760,Small Forward,23,11.7
Ryan Kalkbrenner,Charlotte Hornets,2296274,Center,24,17.9
Ryan Nembhard,Dallas Mavericks,321875,Point Guard,22,10.9
Ryan Rollins,Milwaukee Bucks,4000000,Point Guard,23,16.2
Saddiq Bey,New Orleans Pelicans,6118644,Small Forward,26,17.1
Sam Hauser,Boston Celtics,10044643,Power Forward,28,11.9
Sam Merrill,Cleveland Cavaliers,8482143,Shooting Guard,29,13.6
Sandro Mamukelashvili,Toronto Raptors,2461463,Center,26,18.1
Santi Aldama,Memphis Grizzlies,18485916,Power Forward,25,16.3
Scoot Henderson,Portland Trail Blazers,10748040,Point Guard,21,12.9
Scottie Barnes,Toronto Raptors,38661750,Power Forward,24,19.2
Scotty Pippen Jr.,Memphis Grizzlies,2270735,Point Guard,25,14.7
Seth Curry,Golden State Warriors,1755198,Shooting Guard,35,16
Shaedon Sharpe,Portland Trail Blazers,8399983,Shooting Guard,22,15.3
Shai Gilgeous-Alexander,Oklahoma City Thunder,38333050,Point Guard,27,30.8
Shake Milton,Los Angeles Lakers,3000000,Shooting Guard,29,
Sidy Cissoko,Portland Trail Blazers,688243,Small Forward,21,7.1
Simone Fontecchio,Miami Heat,8307692,Small Forward,30,13.8
Sion James,Charlotte Hornets,2296274,Shooting Guard,23,8.3
Spencer Dinwiddie,Charlotte Hornets,2296274,Point Guard,32,
Spencer Jones,Denver Nuggets,623967,Small Forward,24,9.3
Stephen Curry,Golden State Warriors,59606817,Point Guard,37,22.6
Stephon Castle,San Antonio Spurs,9560520,Point Guard,21,17.4
Steven Adams,Houston Rockets,14130434,Center,32,15.8
Svi Mykhailiuk,Utah Jazz,3675000,Small Forward,28,11.4
T.J. McConnell,Indiana Pacers,10200000,Point Guard,33,20.5
Taj Gibson,Memphis Grizzlies,960753,Center,40,13.6
Tari Eason,Houston Rockets,5675766,Power Forward,24,12.9
Taurean Prince,Milwaukee Bucks,3303774,Small Forward,31,10.5
Taylor Hendricks,Memphis Grizzlies,6127080,Power Forward,22,12.2
Terance Mann,Brooklyn Nets,15500000,Shooting Guard,29,10.2
Terence Davis,Sacramento Kings,2546675,Shooting Guard,28,
Terrence Shannon Jr.,Minnesota Timberwolves,2674080,Shooting Guard,25,11.1
Terry Rozier,Miami Heat,26643031,Point Guard,31,
Thanasis Antetokounmpo,Milwaukee Bucks,2296274,Small Forward,33,14
Thomas Bryant,Cleveland Cavaliers,2296274,Center,28,17.2
Thomas Sorber,Oklahoma City Thunder,4655040,Center,20,
Tidjane Salaun,Charlotte Hornets,7863240,Power Forward,20,12.9
Tim Hardaway Jr.,Denver Nuggets,2296274,Shooting Guard,33,13.5
Tobias Harris,Detroit Pistons,26634146,Power Forward,33,15
Toumani Camara,Portland Trail Blazers,2221677,Power Forward,25,11.3
Trae Young,Washington Wizards,46394100,Point Guard,27,21.1
Trayce Jackson-Davis,Toronto Raptors,2221677,Center,25,16.6
Tre Johnson,Washington Wizards,8237640,Shooting Guard,19,10.6
Tre Jones,Chicago Bulls,8000000,Point Guard,26,18.7
Tre Mann,Charlotte Hornets,8000000,Point Guard,24,8.3
Trendon Watford,Philadelphia 76ers,2461463,Power Forward,25,13.1
Trey Murphy III,New Orleans Pelicans,25000000,Small Forward,25,18.3
Tristan da Silva,Orlando Magic,3809520,Small Forward,24,12
Tristan Vukcevic,Washington Wizards,2857143,Center,22,17.8
Ty Jerome,Memphis Grizzlies,8781000,Shooting Guard,28,25.6
Tyler Herro,Miami Heat,31000000,Shooting Guard,26,17.1
Tyler Kolek,New York Knicks,2191897,Point Guard,24,12.5
Tyler Smith,Dallas Mavericks,1955377,Power Forward,21,9.6
Tyrese Haliburton,Indiana Pacers,45550512,Point Guard,25,
Tyrese Maxey,Philadelphia 76ers,37958760,Point Guard,25,21.9
Tyrese Proctor,Cleveland Cavaliers,1272870,Point Guard,21,12.2
Tyus Jones,Denver Nuggets,514682,Point Guard,29,8.3
Victor Wembanyama,San Antonio Spurs,13376880,Center,22,29.9
Vince Williams Jr.,Utah Jazz,2301587,Shooting Guard,25,10.7
Vit Krejci,Portland Trail Blazers,2349578,Point Guard,25,11.1
VJ Edgecombe,Philadelphia 76ers,11108880,Shooting Guard,20,14
Walker Kessler,Utah Jazz,4878938,Center,24,20.6
Walter Clayton Jr.,Memphis Grizzlies,3991320,Point Guard,22,10.3
Wendell Carter Jr.,Orlando Magic,10850000,Center,26,14.1
Will Richard,Golden State Warriors,1272870,Shooting Guard,23,11
Will Riley,Washington Wizards,3512520,Small Forward,19,12.1
Xavier Tillman,Charlotte Hornets,2546675,Center,27,11
Yang Hansen,Portland Trail Blazers,4422360,Center,20,3.7
Yanic Konan Niederhauser,LA Clippers,2743800,Center,22,16.4
Yves Missi,New Orleans Pelicans,3353040,Center,21,15
Zaccharie Risacher,Atlanta Hawks,13197720,Small Forward,20,11.8
Zach Collins,Chicago Bulls,18080496,Center,28,17.9
Zach Edey,Memphis Grizzlies,6045000,Center,23,20.7
Zach LaVine,Sacramento Kings,47499660,Shooting Guard,30,14.7
Zeke Nnaji,Denver Nuggets,8177778,Power Forward,25,10.3
Ziaire Williams,Brooklyn Nets,6250000,Small Forward,24,12.4
Zion Williamson,New Orleans Pelicans,39446090,Power Forward,25,22.6